station,	lat,		long,		radlat,		radlong,	x,		y,		z,
11,		0.67416,	23.473146,	0.011766312,	0.409683684,	0.91718337,	0.398291635,	0.01176604,
12,		-3.01084,	-23.42456,	-0.052549071,	-0.408835698,	0.916317683,	-0.396992492,	-0.05252489,
14,		-3.6445,	-17.47753,	-0.063608525,	-0.305040444,	0.951905828,	-0.299724379,	-0.063565639,
15,		26.13407,	3.62981,	0.456125568,	0.063352136,	0.895964828,	0.056837345,	0.440473089,
16,		-8.97577,	15.49649,	-0.156656739,	0.270464773,	0.951846396,	0.263907573,	-0.156016764,
17,		20.1653,	30.7658,	0.35195088,	0.536964507,	0.806594111,	0.480174275,	0.344729757,
